barcode,description,quantity,location
11,Battery LiPo 3S 2200mAh,115,לא ידוע
12,Drone Flight Controller F4,7,לא ידוע
13,Brushless Motor 2306 2450KV,30,לא ידוע
14,ESC 30A BLHeli-S,18,לא ידוע
15,FPV Camera 120° Wide Angle,7,לא ידוע
16,5.8GHz Video Transmitter 25-600mW,12,לא ידוע
17,Receiver FrSky R-XSR,9,לא ידוע
18,XT60 Power Cable,40,לא ידוע
19,Drone Frame 5-inch Carbon,5,לא ידוע
110,Propeller 5045 3-blade,100,לא ידוע
111,Charger ISDT Q6 Pro,4,לא ידוע
112,Power Distribution Board (PDB),6,לא ידוע
113,GPS Module BN-220,3,לא ידוע
114,Current Sensor 100A,8,לא ידוע
115,Flight Controller Mount,14,לא ידוע
116,LED Strip for FPV drone,30,לא ידוע
117,Telemetry Module 433MHz,6,לא ידוע
118,Beep Finder Buzzer,25,לא ידוע
119,GoPro Mount TPU,11,לא ידוע
120,Lithium Battery Fireproof Bag,10,לא ידוע
7290108381917,remi,9,לא ידוע
201,פריט סף אדום,22,דימיון
202,ניעכי,209,כנכ
789,hfgh,10,dfhfdh
